,wordle_id,tweet_text
0,261,"Wordle 261 4/6

⬛⬛🟩⬛⬛
⬛🟩🟩🟨⬛
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩"
1,261,"Wordle 261 4/6

⬜🟨⬜⬜⬜
⬜⬜🟨⬜🟩
⬜⬜⬜🟩🟨
🟩🟩🟩🟩🟩"
2,261,"Wordle 261 4/6

⬜🟨⬜⬜🟩
🟨⬜⬜⬜🟩
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩

Yesterday's wordle I forgot to post sjjfg"
3,261,"Wordle 261 4/6

🟨⬛⬛⬛⬛
⬛🟨🟨⬛🟨
🟨🟨⬛⬛🟨
🟩🟩🟩🟩🟩"
4,261,"Wordle 261 2/6

⬛🟩🟩🟩⬛
🟩🟩🟩🟩🟩"
5,261,"Wordle 261 4/6

🟨🟨⬛⬛⬛
⬛🟨🟩⬛⬛
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩"
6,261,"Wordle 261 3/6

⬛⬛⬛🟨⬛
🟨⬛⬛🟨⬛
🟩🟩🟩🟩🟩"
7,261,"Wordle 261 2/6

⬜🟨🟨🟩⬜
🟩🟩🟩🟩🟩"
8,261,"Wordle 261 3/6

⬛🟩⬛⬛🟨
🟩🟩⬛⬛🟨
🟩🟩🟩🟩🟩"
9,261,"Wordle 261 5/6

⬛⬛🟩⬛⬛
⬛🟨🟩⬛⬛
⬛⬛🟩🟩⬛
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩"
10,261,"Wordle 261 3/6

🟨🟨⬛⬛⬛
🟨⬛🟩🟨⬛
🟩🟩🟩🟩🟩"
11,261,"Wordle 261 5/6

⬜🟨🟩⬜⬜
⬜⬜🟩⬜🟨
⬜🟨🟩🟩⬜
🟩🟩⬜⬜🟩
🟩🟩🟩🟩🟩"
12,261,"Wordle 261 5/6

⬜🟨🟨⬜⬜
🟨🟨⬜⬜🟩
⬜⬜🟩🟩🟩
⬜🟨🟩🟩🟩
🟩🟩🟩🟩🟩Flabbergasted doesn’t fit there."
13,261,"Wordle 261 4/6

⬛🟨🟩⬛⬛
⬛🟨🟩🟩⬛
🟩⬛🟩🟩🟩
🟩🟩🟩🟩🟩"
14,261,"Wordle 261 4/6

⬜⬜🟨⬜⬜
🟨🟩⬜⬜🟩
⬜🟨🟨🟩🟩
🟩🟩🟩🟩🟩"
15,261,"Wordle 261 3/6

⬜⬜⬜🟨⬜
⬜🟨🟩⬜⬜
🟩🟩🟩🟩🟩"
16,261,"Wordle 261 4/6

⬛🟩⬛⬛⬛
⬛🟩🟩⬛⬛
⬛🟩🟩⬛🟨
🟩🟩🟩🟩🟩"
17,261,"Wordle 261 3/6

⬛⬛🟩🟩🟩
⬛🟨🟩🟩🟩
🟩🟩🟩🟩🟩"
18,261,"Wordle 261 4/6

⬛🟨⬛⬛⬛
⬛⬛🟨⬛🟩
⬛🟨🟨🟩🟩
🟩🟩🟩🟩🟩"
19,261,"Wordle 261 6/6

⬛⬛⬛🟨⬛
⬛🟩🟩⬛⬛
⬛🟩🟩⬛🟨
⬛🟩🟩⬛⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩"
20,261,"Wordle 261 3/6

⬛🟨⬛🟨🟩
⬛🟨🟩🟩🟩
🟩🟩🟩🟩🟩

😎😎😎😎😎"
21,261,"Wordle 261 3/6

⬛🟨⬛⬛🟨
🟩🟩🟨⬛⬛
🟩🟩🟩🟩🟩"
